,importances_mean,importances_std,feature
5,0.06375871289189945,0.007655373798943551,sin_weekday
4,0.04996777086419115,0.005326049617070571,cos_weekday
14,0.017953235321692775,0.001577660882238472,gt_moto
15,0.013581963441708922,0.002637579711482013,gt_RUNT
13,0.013444420675216406,0.0029901258171449807,gt_carro
3,0.011223059638155064,0.0027351345648321283,sin_n_week
1,0.010836560649659077,0.002601630218834067,sin_month
0,0.008143894630961768,0.002998388502246906,cos_month
10,0.007931272133328093,0.0020215225489079447,trm_shift_60
2,0.007689845723200505,0.002291171033388519,cos_n_week
11,0.006804901837449506,0.0008982707667097045,trm_shift_404
8,0.006746311504355162,0.0038139001814333474,week_with_holiday
6,0.006493930768249357,0.0049069211783218875,holiday
9,0.006273280414620786,0.0017655360062539688,trm_shift_45
12,0.005572827280036563,0.0016013229794351086,trm_shift_592
7,0.0022358742307915236,0.0012848347290742035,day_before_holiday
